age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
58,management,married,tertiary,0,2143,1,0,cellular,5,may,261,1,-1,0,failure
44,technician,single,secondary,0,29,1,0,cellular,5,may,151,1,-1,0,failure
33,entrepreneur,married,secondary,0,2,1,1,cellular,5,may,76,1,-1,0,failure
47,blue-collar,married,secondary,0,1506,1,0,cellular,5,may,92,1,-1,0,failure
33,technician,single,secondary,0,1,0,0,cellular,5,may,198,1,-1,0,failure
28,unemployed,single,tertiary,0,0,1,0,cellular,5,may,125,2,-1,0,failure
42,entrepreneur,divorced,tertiary,1,2,1,0,cellular,5,may,380,1,-1,0,failure
58,retired,married,primary,0,121,1,0,cellular,5,may,50,1,-1,0,failure
58,admin.,married,secondary,0,6878,0,0,cellular,4,aug,148,1,-1,0,failure
41,admin.,divorced,secondary,0,270,1,0,cellular,5,may,222,1,-1,0,failure
53,housemaid,divorced,primary,0,947,1,0,cellular,5,may,163,1,-1,0,failure
57,services,married,secondary,0,162,1,0,cellular,5,may,174,1,-1,0,failure
56,technician,married,secondary,0,589,1,0,cellular,23,oct,518,1,147,2,success
38,self-employed,married,secondary,0,-10,0,0,cellular,2,jun,137,7,-1,0,failure
26,student,single,secondary,0,0,1,0,cellular,5,may,610,2,-1,0,failure
59,retired,married,secondary,1,49,0,1,cellular,1,jul,602,4,-1,0,failure
23,student,single,secondary,0,922,0,0,cellular,1,sep,81,5,99,3,other
58,self-employed,married,tertiary,0,-364,1,0,cellular,5,may,355,1,-1,0,failure
34,technician,single,secondary,0,1866,0,0,cellular,4,nov,95,1,-1,0,failure
41,technician,married,secondary,0,0,1,0,telephone,4,dec,43,1,-1,0,failure
59,management,married,tertiary,0,2143,1,0,cellular,28,jan,59,1,268,1,failure
42,services,married,secondary,0,1376,1,0,cellular,2,mar,712,4,-1,0,failure
32,technician,single,tertiary,0,392,1,0,cellular,1,apr,957,2,131,2,failure
46,technician,divorced,secondary,0,-90,0,1,telephone,17,oct,270,1,-1,0,failure
31,services,single,secondary,0,295,0,0,cellular,2,feb,78,5,-1,0,failure
27,management,single,secondary,0,35,0,0,cellular,4,jul,255,1,-1,0,failure
31,technician,single,secondary,0,19,0,0,telephone,4,jul,65,2,-1,0,failure
33,admin.,married,tertiary,0,882,0,0,telephone,21,oct,39,1,151,3,failure
42,admin.,single,secondary,0,-247,1,1,telephone,21,oct,519,1,166,1,other
